"control_1" "control_2" "control_3" "feStarved_1" "feStarved_2" "feStarved_3" "h2o2Treated_1" "h2o2Treated_2" "h2o2Treated_3" "feStarved_h2o2Treated_1" "feStarved_h2o2Treated_2" "feStarved_h2o2Treated_3"
"Afu8g05820" 110 91 72 104 123 121 208 115 101 12 15 15
"Afu1g00220" 971 818 835 1881 1955 2197 1583 1491 1238 1658 1370 1435
"Afu1g11050" 116 135 139 160 184 166 157 142 127 113 70 105
"Afu5g13370" 404 361 340 452 470 526 684 574 435 216 113 210
"Afu6g13800" 495 253 305 688 759 897 280 634 335 97 82 75
"Afu3g04030" 168 76 91 199 136 186 116 76 78 38 53 19
"Afu2g15312" 30 29 18 7 6 4 57 21 40 6 29 11
"Afu1g13950" 43 43 34 85 84 107 85 49 42 93 51 94
"Afu1g05760" 327 251 278 607 495 555 403 309 242 1333 1522 1335
"Afu4g12640" 510 397 345 1097 1294 1141 639 540 369 867 602 668
"Afu7g08410" 98 175 118 111 140 167 144 142 139 111 451 139
"Afu5g05640" 2902 1622 1827 721 938 636 1651 1788 1259 275 114 174
"Afu2g12330" 1344 1055 956 1274 1374 1501 1489 1553 1278 1284 414 1286
"Afu4g08450" 34 39 31 487 349 503 75 95 65 236 173 230
"Afu5g02650" 4356 4198 4699 4716 4860 5471 4693 7123 4736 1884 847 1973
"Afu5g08970" 653 574 509 580 477 496 839 682 496 229 53 207
"Afu2g16480" 1263 1088 1072 1403 1515 1409 1342 1420 1127 3257 3143 3173
"Afu2g17720" 8 4 5 37 23 35 9 4 6 6 3 7
"Afu3g05800" 45 41 42 89 118 95 73 53 40 61 13 74
"Afu8g01638" 38 43 43 30 51 59 65 80 39 421 824 371
"Afu5g14060" 676 560 595 432 460 480 722 611 502 202 533 211
"Afu3g13140" 1598 8859 8670 162 252 119 4135 4560 2787 2146 4885 2030
"Afu6g10380" 2403 1802 1837 2763 3093 3088 2590 2376 2013 3291 786 3170
"Afu8g04650" 2041 1594 1516 1134 1119 1257 1332 1174 1056 2502 1592 2930
"Afu2g09430" 42 31 54 1292 1253 1441 48 37 32 166 137 187
"Afu4g13220" 23 26 27 40 47 44 41 35 27 29 28 31
"Afu3g12350" 11331 10103 10844 18767 21276 23776 9764 12349 9649 51151 77796 55909
"Afu3g09280" 1442 1321 1180 996 1081 1070 1535 1535 1215 627 452 634
"Afu3g08010" 13617 11536 12221 20157 21658 25860 15901 17080 12983 23140 50740 23923
"Afu6g10300" 2085 2001 1934 2586 3096 2913 2439 2296 1866 996 522 864
"Afu2g14680" 4053 3819 3772 3889 5073 5943 3480 4115 3221 1395 617 1439
"Afu1g12650" 734 630 499 470 485 435 921 713 661 1345 476 1239
"Afu6g05045" 132 119 120 255 257 299 219 152 153 204 119 167
"Afu2g12810" 49 37 39 46 78 103 48 43 44 21 28 22
"Afu1g00890" 126 88 81 100 86 92 122 93 67 106 94 79
"Afu3g05420" 1231 1065 998 1615 1703 1897 1516 1417 1140 1058 665 914
"Afu7g05250" 1842 1284 1183 1368 1620 1446 1703 1681 1304 3121 2729 2868
"Afu7g04020" 138 124 114 69 52 69 358 204 183 70 35 46
"Afu5g14010" 127 148 119 76 85 130 116 96 103 106 226 79
"Afu3g12310" 1135 1181 1095 763 631 724 1325 1389 1060 477 248 399
"Afu2g11340" 4895 3185 3169 2877 3099 3146 3646 3240 2812 4519 3053 4302
"Afu2g08100" 65 54 64 48 106 64 54 62 44 111 57 87
"Afu1g17160" 7 4 6 17 18 18 8 8 1 16 18 18
"Afu1g15780" 1742 1363 1311 4719 4501 5042 1878 1352 1209 4695 1031 3671
"Afu5g14950" 434 392 394 818 875 919 464 553 457 800 614 905
"Afu2g14210" 3220 2752 2703 362 445 482 2557 2698 2230 366 488 280
"Afu1g12610" 7426 6097 6148 4265 4289 4659 6916 7277 7159 4622 16296 3460
"Afu2g04150" 331 332 365 1301 1290 1579 687 572 502 1138 523 1156
"Afu1g17150" 129 57 69 452 478 468 148 97 77 195 35 109
"Afu4g01350" 1961 1204 1218 2103 2050 2553 1408 1000 993 1305 1654 1397
"Afu3g12990" 199 146 147 1137 1275 1350 282 230 150 111 75 109
"Afu4g04580" 11 16 13 10 28 19 9 14 6 38 47 27
"Afu8g01950" 2 1 1 3 4 5 6 3 5 0 0 0
"Afu2g08360" 807 740 684 814 820 961 963 871 744 226 79 157
"Afu5g03780" 474 460 422 265 216 257 2302 623 729 56 31 48
"Afu7g01730" 262 283 274 127 147 115 244 265 220 1602 1854 1479
"Afu3g02150" 1 1 0 5 4 4 7 6 4 1 2 2
"Afu2g15360" 41 37 43 7 24 17 47 55 34 39 319 18
"Afu5g11270" 1780 1533 1512 1623 1577 1758 1851 1849 1380 1494 692 1508
"Afu2g03770" 161 165 154 198 136 120 217 158 143 143 288 128
"Afu1g06630" 604 516 552 774 661 785 729 750 600 586 409 625
"Afu1g02950" 1828 1879 1587 262 328 352 1844 1279 1369 259 403 213
"Afu6g11720" 10 3 6 52 51 39 1 8 3 2 1 3
"Afu3g10510" 420 404 393 729 719 870 641 581 513 258 157 185
"Afu8g04310" 19731 12594 11894 4776 12036 7875 7250 8025 7083 11094 3820 6965
"Afu3g03135" 0 0 0 0 0 1 0 1 1 1 0 0
"Afu4g13250" 850 818 721 813 867 821 817 748 543 1948 1828 1854
"Afu1g10850" 1063 784 777 1023 1063 1183 1201 990 926 1383 546 1321
"Afu5g14845" 106 74 69 64 85 61 105 81 88 43 55 28
"Afu8g04970" 245 193 167 292 337 313 340 305 200 752 412 681
"Afu1g03970" 3602 3225 3154 3006 3559 3678 3962 4039 3226 2678 1770 2520
"Afu6g07850" 5011 4659 4627 996 1133 1494 5537 5862 5923 471 388 578
"Afu5g00930" 9 14 9 225 168 235 40 98 53 224 1630 224
"Afu2g10375" 1 6 9 4 5 4 11 8 6 4 15 5
"Afu2g16470" 205 200 164 231 288 256 233 156 174 867 603 853
"Afu2g17790" 69 50 63 31 36 37 60 67 46 13 18 10
"Afu6g10360" 1769 1035 1083 653 716 767 1272 1308 986 1112 772 863
"Afu2g17540" 418 1138 473 7 10 6 3074 307 877 3 18 3
"Afu6g12250" 431 326 320 802 748 767 472 439 345 315 75 194
"Afu6g09307" 1483 1034 1022 916 1116 1299 2268 2808 2007 493 2227 359
"Afu7g04980" 21 18 18 32 36 31 15 17 8 7 4 7
"Afu3g13700" 794 541 815 10 16 15 128 545 284 13 7 10
"Afu6g11120" 813 785 636 752 716 830 1028 769 737 316 252 328
"Afu2g08230" 213 229 199 385 405 421 379 301 207 8189 7130 5627
"Afu1g05490" 5775 3752 3704 3820 4712 4596 5054 4709 3819 3802 2422 3301
"Afu3g04210" 16785 12876 13285 9051 11501 11825 15395 20373 14626 3427 1654 1971
"Afu3g02175" 158 144 185 1225 1463 1417 390 280 225 226 54 163
"Afu1g05260" 334 286 255 306 351 367 458 374 328 361 413 295
"Afu6g03390" 386 253 269 72 97 106 256 317 240 23 8 13
"Afu5g03950" 68 60 51 97 93 88 48 56 34 141 200 141
"Afu1g09220" 265 209 192 301 291 318 335 281 239 480 260 492
"Afu6g09300" 778 768 702 1027 1158 1155 1060 862 782 994 627 997
"Afu1g07300" 720 643 583 537 573 553 669 610 526 1387 732 1209
"Afu8g04860" 198 154 148 175 176 202 202 363 293 327 294 359
"Afu6g10680" 274 257 236 307 324 340 336 294 256 500 295 492
"Afu2g05810" 1982 1364 1246 646 1064 778 919 1120 868 1537 1231 1361
"Afu4g07870" 269 253 275 215 187 243 316 309 268 503 297 351
"Afu4g03230" 18 18 18 30 21 26 87 45 51 2 0 4
"Afu6g03950" 1347 1093 1034 2090 2398 2336 1900 1713 1280 3853 2611 3589
