### Possible 'Aspergillus fumigatus Af293' input gene IDs for classification ontology 'GO'
### Unique input gene ID	Possible input gene IDs and their alternatives
aah1	aah1, ADE_ASPFU, AFUA_2G09150, Q4X1Q4
abd1	abd1, AFUA_6G07690, MCES_ASPFU, Q4WN42
abfB	abfB, ABFB_ASPFU, AFUA_6G14620, Q4WL66
abfC	abfC, ABFC_ASPFU, AFUA_1G09900, Q4WTB3
abnA	abnA, ABNA_ASPFU, AFUA_3G14620, Q4WYX7
abnB	abnB, ABNB_ASPFU, AFUA_2G14150, Q4X0A5
abnC	abnC, ABNC_ASPFU, AFUA_6G00770, Q4W930
acn9	acn9, ACN9_ASPFU, AFUA_2G05090, Q4WHK3
acoA	acoA, ACON_ASPFU, Afu6g12930, Q4WLN1
acoB	acoB, ACON2_ASPFU, Afu1g06810, Q4WJ90
acoC	acoC, ACON3_ASPFU, Afu8g07140, Q4WBR0
acrB	acr2, acrB, ACRB_ASPFU, AFUA_4G12790, Q4WQG9
acuK	acuK, ACUK_ASPFU, AN7468, Q4WHD1
adi1	adi1, AFUA_6G04430, MTND_ASPFU, Q4WDE1
adk1	adk1, AFUA_1G07530, KAD2_ASPFU, Q4WJ21
ADK2	ADK2, AFUA_1G03420, Q4WK78, Q4WK78_ASPFU
ADM-B	ADM-B, ADMB_ASPFU, AFUA_4G11150, Q4WQ08
AFUA_1G00100	A4D9R7, A4D9R7_ASPFU, AFUA_1G00100
AFUA_1G00110	AFUA_1G00110, Q4WL57, Q4WL57_ASPFU
AFUA_1G00120	AFUA_1G00120, Q4WL56, Q4WL56_ASPFU
AFUA_1G00130	AFUA_1G00130, Q4WL55, Q4WL55_ASPFU
AFUA_1G00150	AFUA_1G00150, Q4WL53, Q4WL53_ASPFU
AFUA_1G00160	AFUA_1G00160, Q4WL52, Q4WL52_ASPFU
AFUA_1G00170	AFUA_1G00170, Q4WL51, Q4WL51_ASPFU
AFUA_1G00180	AFUA_1G00180, Q4WL50, Q4WL50_ASPFU
AFUA_1G00200	AFUA_1G00200, Q4WL48, Q4WL48_ASPFU
AFUA_1G00210	AFUA_1G00210, Q4WL47, Q4WL47_ASPFU
AFUA_1G00220	AFUA_1G00220, Q4WL46, Q4WL46_ASPFU
AFUA_1G00230	AFUA_1G00230, Q4WL45, Q4WL45_ASPFU
AFUA_1G00250	AFUA_1G00250, Q4WL43, Q4WL43_ASPFU
AFUA_1G00270	AFUA_1G00270, Q4WL41, Q4WL41_ASPFU
AFUA_1G00280	AFUA_1G00280, Q4WL40, Q4WL40_ASPFU
AFUA_1G00310	AFUA_1G00310, Q4WL37, Q4WL37_ASPFU
AFUA_1G00320	AFUA_1G00320, Q4WL36, Q4WL36_ASPFU
